Address,PriceInAscendingOrder,LandArea,FloorArea,PropertyLinks,Timestamp
"['4-8 Harrald Street', ',', 'Mount Gambier, SA 5290']",['EOI by 12pm 26/11/2021 Unless Sold Prior'],['900 m²'],['7'],https://www.realcommercial.com.au/for-sale/property-4-8-harrald-street-mount-gambier-sa-5290-503935378,2022-01-29 02:09:34.670074
"['1/20 Lindsay Road', ',', 'Lonsdale, SA 5160']",['SOLD by Derek Blacker!! More properties Wanted'],['233 m²'],['Vacant Possession'],https://www.realcommercial.com.au/for-sale/property-1-20-lindsay-road-lonsdale-sa-5160-503894510,2022-01-29 02:09:34.670074
"['2/20 Lindsay Road', ',', 'Lonsdale, SA 5160']",['SOLD by Derek Blacker!! More properties Wanted'],['233 m²'],['Vacant Possession'],https://www.realcommercial.com.au/for-sale/property-2-20-lindsay-road-lonsdale-sa-5160-503894514,2022-01-29 02:09:34.670074
"['3/20 Lindsay Road', ',', 'Lonsdale, SA 5160']",['SOLD by Derek Blacker!! More properties Wanted'],['233 m²'],['Vacant Possession'],https://www.realcommercial.com.au/for-sale/property-3-20-lindsay-road-lonsdale-sa-5160-503894518,2022-01-29 02:09:34.670074
"['5/20 Lindsay Road', ',', 'Lonsdale, SA 5160']",['SOLD by Derek Blacker!! More properties Wanted'],['233 m²'],['Vacant Possession'],https://www.realcommercial.com.au/for-sale/property-5-20-lindsay-road-lonsdale-sa-5160-503894530,2022-01-29 02:09:34.670074
"['4/20 Lindsay Road', ',', 'Lonsdale, SA 5160']",['SOLD by Derek Blacker!! More properties Wanted'],['233 m²'],['Vacant Possession'],https://www.realcommercial.com.au/for-sale/property-4-20-lindsay-road-lonsdale-sa-5160-503894538,2022-01-29 02:09:34.670074
"['27 Callington Road', ',', 'Strathalbyn, SA 5255']","['$399,999']",['2019 m²'],['174 m²'],https://www.realcommercial.com.au/for-sale/property-27-callington-road-strathalbyn-sa-5255-503787194,2022-01-29 02:09:34.670074
"['11-13 Woodcock Street', ',', 'Port Augusta, SA 5700']","['$400,00 to $450,000']",['0.5 ha (1.24 acres)'],['548 m²'],https://www.realcommercial.com.au/for-sale/property-11-13-woodcock-street-port-augusta-sa-5700-503916334,2022-01-29 02:09:34.670074
"['347 Main South Road', ',', 'Morphett Vale, SA 5162']",['Contact Agent'],['273 m²'],['33'],https://www.realcommercial.com.au/for-sale/property-347-main-south-road-morphett-vale-sa-5162-503877514,2022-01-29 02:09:34.670074
"['77 Mortlock Terrace', ',', 'Port Lincoln, SA 5606']","['$465,000']",['841 m²'],['220 m²'],https://www.realcommercial.com.au/for-sale/property-77-mortlock-terrace-port-lincoln-sa-5606-502936610,2022-01-29 02:09:34.670074
"['184 Brown Road', ',', 'Waterloo Corner, SA 5110']",['Price Upon Application'],['5.95 ha (14.7 acres)'],['59500 m²'],https://www.realcommercial.com.au/for-sale/property-184-brown-road-waterloo-corner-sa-5110-501590525,2022-01-29 02:09:34.670074
"['1 MAB Circuit', ',', 'Tonsley, SA 5042']",['Contact Agent'],['500 m²'],['500 m²'],https://www.realcommercial.com.au/for-sale/property-1-mab-circuit-tonsley-sa-5042-503701754,2022-01-29 02:09:34.670074
"['Welland Business Park, 126-132 Frederick Street', ',', 'Welland, SA 5007']",['Refer to Listing for Price and Rental Details'],['133 - 525 m²'],['Vacant Possession'],https://www.realcommercial.com.au/for-sale/property-welland-business-park-126-132-frederick-street-welland-sa-5007-503925750,2022-01-29 02:09:34.670074
"['12 Graham Street', ',', 'Wingfield, SA 5013']",['Contact Agent'],['696 m²'],['209 m²'],https://www.realcommercial.com.au/for-sale/property-12-graham-street-wingfield-sa-5013-503958370,2022-01-29 02:09:34.670074
"['16 Gosse Street', ',', 'Roxby Downs, SA 5725']","['Offers over $500,000']",['1037 m²'],['513 m²'],https://www.realcommercial.com.au/for-sale/property-16-gosse-street-roxby-downs-sa-5725-503715742,2022-01-29 02:09:34.670074
"['7 Blackman Place', ',', 'Port Lincoln, SA 5606']","['$530,000']",['1291 m²'],['790 m²'],https://www.realcommercial.com.au/for-sale/property-7-blackman-place-port-lincoln-sa-5606-501117303,2022-01-29 02:09:34.670074
