Address,PriceInAscendingOrder,LandArea,FloorArea,PropertyLinks,Timestamp
"['1026 South Road', ',', 'Edwardstown, SA 5039']",['In excess of $3 million'],['2261 m²'],['1595 m²'],https://www.realcommercial.com.au/for-sale/property-1026-south-road-edwardstown-sa-5039-503974362,2022-01-29 02:09:34.670074
"['3 Maritime Court', ',', 'Gillman, SA 5013']",['In excess of $3 million'],['3360 m²'],['1797 m²'],https://www.realcommercial.com.au/for-sale/property-3-maritime-court-gillman-sa-5013-503989222,2022-01-29 02:09:34.670074
"['104 Wing Street', ',', 'Wingfield, SA 5013']",['Contact Agent'],['0.64 ha (1.58 acres)'],['2212 m²'],https://www.realcommercial.com.au/for-sale/property-104-wing-street-wingfield-sa-5013-503944666,2022-01-29 02:09:34.670074
"['6/1057 South Road', ',', 'Melrose Park, SA 5039']",['Contact Agent'],['2513 m²'],['2513 m²'],https://www.realcommercial.com.au/for-sale/property-6-1057-south-road-melrose-park-sa-5039-503979774,2022-01-29 02:09:34.670074
"['84 - 88 Richmond Road', ',', 'Keswick, SA 5035']",['Contact Agent'],['2878 m²'],['1783 m²'],https://www.realcommercial.com.au/for-sale/property-84-88-richmond-road-keswick-sa-5035-502885358,2022-01-29 02:09:34.670074
"['1109-1111 South Road', ',', 'Melrose Park, SA 5039']",['Contact Agent'],['0.46 ha (1.13 acres)'],['3617 m²'],https://www.realcommercial.com.au/for-sale/property-1109-1111-south-road-melrose-park-sa-5039-503913350,2022-01-29 02:09:34.670074
"['9-11 Mirage Road', ',', 'Direk, SA 5110']",['Expressions of Interest'],['0.57 ha (1.42 acres)'],['3000 m²'],https://www.realcommercial.com.au/for-sale/property-9-11-mirage-road-direk-sa-5110-503898778,2022-01-29 02:09:34.670074
"['102-122 Eastern Parade', ',', 'Gillman, SA 5013']",['Please contact agent'],['4.24 ha (10.48 acres)'],['9531 m²'],https://www.realcommercial.com.au/for-sale/property-102-122-eastern-parade-gillman-sa-5013-503176978,2022-01-29 02:09:34.670074
"['6 Priority Court', ',', 'Edinburgh North, SA 5113']",['Contact Agent'],['1.83 ha (4.52 acres)'],['5257 m²'],https://www.realcommercial.com.au/for-sale/property-6-priority-court-edinburgh-north-sa-5113-503941554,2022-01-29 02:09:34.670074
"['2-12 Hookina Road', ',', 'Burton, SA 5110']",['Best Offer by 18th Feb by 5pm'],['1.76 ha (4.34 acres)'],['6104 m²'],https://www.realcommercial.com.au/for-sale/property-2-12-hookina-road-burton-sa-5110-503985746,2022-01-29 02:09:34.670074
"['24 - 30 Kaurna Avenue', ',', 'Edinburgh, SA 5111']",['Contact Agent'],['5.07 ha (12.53 acres)'],['50700 m²'],https://www.realcommercial.com.au/for-sale/property-24-30-kaurna-avenue-edinburgh-sa-5111-503823894,2022-01-29 02:09:34.670074
"['31 Greenwith Road', ',', 'Golden Grove, SA 5125']","['$9,000,000']",['6.07 ha (15 acres)'],['6000 m²'],https://www.realcommercial.com.au/for-sale/property-31-greenwith-road-golden-grove-sa-5125-503865814,2022-01-29 02:09:34.670074
"['2948 & 2960 Barossa Valley Way + Siegersdorf & Light Pass Road', ',', 'Tanunda, SA 5352']",['Expression of Interest'],['46 ha (113.67 acres)'],['2136 m²'],https://www.realcommercial.com.au/for-sale/property-2948-2960-barossa-valley-way-siegersdorf-light-pass-road-tanunda-sa-5352-503979830,2022-01-29 02:09:34.670074
